    BicycleBmxTeal, {x:1.84, y:1.02, z:1.29}
    BicycleBeachCruiserTeal, {x:2.47, y:0.72, z:1.49}
    SpeakersBig, {x:1.00, y:1.20, z:1.99}
    GroupOfSpeakersTower, {x:1.50, y:1.50, z:6.01}
    ScooterBlue, {x:1.03, y:0.44, z:1.05}
    ScooterPink, {x:1.03, y:0.44, z:1.05}
    VipRopeGoldShortAddon, {x:1.76, y:0.46, z:1.17}
    BalloonBunchPurple, {x:1.20, y:0.95, z:1.15}
    BalloonBunchBlack, {x:1.20, y:0.95, z:1.15}
    BusinessCanopyWide, {x:8.08, y:4.27, z:4.76}
    ScooterRed, {x:1.03, y:0.44, z:1.05}
    TrophyGold, {x:0.67, y:0.47, z:0.93}
    StageHeart, {x:11.97, y:8.94, z:1.06}
    BikeRacks, {x:0.76, y:2.72, z:0.63}
    SurfboardLongboard, {x:0.76, y:0.52, z:3.10}
    BananaGold, {x:0.07, y:0.14, z:0.35}
    BicycleBeachCruiserBasketPink, {x:2.47, y:0.72, z:1.49}
    VipRopeGoldAddon, {x:3.53, y:0.46, z:1.17}
    ShakerPepper, {x:0.07, y:0.08, z:0.15}
    VipRopeSilverShort, {x:2.05, y:0.46, z:1.17}
    StageTrussLight, {x:14.03, y:2.04, z:8.11}
    BicycleBeachCruiserBasketYellowKickstand, {x:2.47, y:0.72, z:1.50}
    SpeakersStand, {x:1.31, y:1.16, z:2.91}
    MetalBarrier, {x:2.61, y:0.36, z:1.15}
    MiningTrackCurved, {x:2.02, y:2.14, z:0.07}
    MicrophoneStandEmpty, {x:0.40, y:0.42, z:1.44}
    MicrophoneStand, {x:0.47, y:0.47, z:1.58}
    SqueezeBottleMustard, {x:0.10, y:0.10, z:0.34}
    SqueezeBottleKetchup, {x:0.10, y:0.10, z:0.34}
    GuitarBassBlack, {x:0.42, y:0.11, z:1.34}
    StageTrussDarkLighting, {x:14.00, y:3.25, z:8.98}
    BicycleBeachCruiserBasketWhiteKickstand, {x:2.47, y:0.72, z:1.50}
    TrafficConeOrange, {x:0.60, y:0.70, z:1.30}
    ShakerSalt, {x:0.07, y:0.08, z:0.15}
    SqueezeBottleMayo, {x:0.10, y:0.10, z:0.34}
    BalloonWhite, {x:0.50, y:0.50, z:2.23}
    MetalBarrierYellow, {x:2.61, y:0.36, z:1.15}
    MobileChalkboard, {x:3.27, y:0.30, z:2.82}
    VipRopeSilverShortAddon, {x:1.70, y:0.40, z:1.17}
    HotSauceRed, {x:0.10, y:0.10, z:0.30}
    HotSauceGreen, {x:0.10, y:0.10, z:0.30}
    ConstructionConeOrange, {x:0.56, y:0.56, z:0.62}
    BalloonBunchGreen, {x:1.32, y:1.03, z:3.26}
    BalloonBunchNeonOrange, {x:1.20, y:0.95, z:1.15}
    SpeakersMounted, {x:2.29, y:1.12, z:2.28}
    BusinessCanopy, {x:4.27, y:4.27, z:4.76}
    BananaSilver, {x:0.07, y:0.14, z:0.35}
    VipRopeSilver, {x:3.82, y:0.46, z:1.17}
    BalloonBrown, {x:0.48, y:0.48, z:0.70}
    BananaBunchGold, {x:0.23, y:0.30, z:0.37}
    MetalBarrierDark, {x:2.61, y:0.36, z:1.15}
    LightingArraySpotlightsLight, {x:13.19, y:1.53, z:1.44}
    BananaBunchSilver, {x:0.23, y:0.30, z:0.37}
    BicycleBmxPurple, {x:1.84, y:1.02, z:1.29}
    Microphone, {x:0.12, y:0.24, z:0.31}
    BackdropWhite, {x:4.00, y:4.00, z:4.00}
    BalloonBunchNeonGreen, {x:1.32, y:1.03, z:3.26}
    StageTrussLightLighting, {x:14.03, y:3.27, z:9.03}
    StageRectangularDark, {x:9.00, y:6.00, z:1.00}
    TrafficConeNeon, {x:0.60, y:0.70, z:1.30}
    ScooterGreen, {x:1.03, y:0.44, z:1.05}
    PullupBars, {x:3.88, y:0.10, z:3.30}
    BalloonRed, {x:0.48, y:0.48, z:0.70}
    BalloonNeonGreen, {x:0.50, y:0.50, z:2.23}
    BalloonBunchWhite, {x:1.20, y:0.95, z:1.15}
    MiningCart, {x:1.55, y:0.65, z:0.79}
    GuestbookModern, {x:0.87, y:0.87, z:1.13}
    SpeakersSmall, {x:0.66, y:0.76, z:1.00}
    BalloonBlue, {x:0.50, y:0.50, z:2.23}
    BananaBunch, {x:0.23, y:0.39, z:0.26}
    GuitarMetalPurple, {x:0.48, y:0.10, z:1.39}
    SqueezeBottleSourCream, {x:0.10, y:0.10, z:0.34}
    BalloonBunchYellow, {x:1.32, y:1.03, z:3.26}
    GreenScreenCorner, {x:4.00, y:4.00, z:4.00}
    BalloonBunchBrown, {x:1.32, y:1.03, z:3.26}
    TrussStructure, {x:1.04, y:1.04, z:4.03}
    LightingStandColored, {x:1.31, y:1.13, z:3.41}
    GuitarBassPink, {x:0.42, y:0.11, z:1.34}
    SpeakersSoundwall, {x:4.50, y:1.09, z:5.69}
    BalloonYellow, {x:0.50, y:0.50, z:2.23}
    SpeakersStageMonitor, {x:0.99, y:0.89, z:0.71}
    BalloonGreen, {x:0.50, y:0.50, z:2.23}
    TrophySilver, {x:0.67, y:0.47, z:0.93}
    SpookyTree09, {x:6.06, y:4.77, z:6.56}
    CandleShapeC.022, {x:0.17, y:0.19, z:0.18}
    Swallowtail, {x:0.45, y:0.35, z:0.12}
    Frog01, {x:0.29, y:0.36, z:0.21}
    CandleShapeB.027, {x:0.10, y:0.12, z:0.20}
    Penguin, {x:0.45, y:0.64, z:1.01}
    CandleSkullShapeB.002, {x:0.20, y:0.31, z:0.36}
    CrateSkulls01, {x:0.90, y:0.90, z:1.00}
    CandleSkullShapeB.016, {x:0.20, y:0.31, z:0.36}
    CandleSkullShapeB.017, {x:0.20, y:0.31, z:0.36}
    CandleSkullShapeB.003, {x:0.20, y:0.31, z:0.36}
    CandleShapeB.032, {x:0.10, y:0.12, z:0.20}
    CandleShapeB.026, {x:0.10, y:0.12, z:0.20}
    WildBoar, {x:0.64, y:1.74, z:0.82}
    Wolf, {x:0.56, y:2.23, z:1.35}
    CandleShapeC.023, {x:0.17, y:0.19, z:0.18}
    SpookyTree08, {x:6.59, y:5.28, z:6.56}
    Hawk, {x:0.26, y:0.69, z:0.66}
    GrassHopper, {x:0.25, y:0.56, z:0.26}
    CandleShapeC.009, {x:0.17, y:0.19, z:0.18}
    CandleShapeC.021, {x:0.17, y:0.19, z:0.18}
    Frog02, {x:0.37, y:0.32, z:0.14}
    CandleShapeB.018, {x:0.10, y:0.12, z:0.20}
    CarvedPumpkinCluster, {x:1.67, y:1.11, z:0.73}
    CandleShapeB.030, {x:0.10, y:0.12, z:0.20}
    CandleShapeB.024, {x:0.10, y:0.12, z:0.20}
    Goose, {x:0.59, y:0.61, z:1.05}
    CandleSkullShapeB.015, {x:0.20, y:0.31, z:0.36}
    CrateSkulls02, {x:0.90, y:0.90, z:1.13}
    CandleSkullShapeB.001, {x:0.20, y:0.31, z:0.36}
    CandleSkullShapeB.000, {x:0.20, y:0.31, z:0.36}
    CandleSkullShapeB.014, {x:0.20, y:0.31, z:0.36}
    HalloweenRug, {x:0.89, y:0.62, z:0.03}
    CandleShapeB.025, {x:0.10, y:0.12, z:0.20}
    CandleShapeB.031, {x:0.10, y:0.12, z:0.20}
    CandleShapeB.019, {x:0.10, y:0.12, z:0.20}
    HoneyBadger, {x:0.49, y:1.30, z:0.57}
    CandleShapeC.020, {x:0.17, y:0.19, z:0.18}
    CandleShapeC.008, {x:0.17, y:0.19, z:0.18}
    CandleShapeC.024, {x:0.17, y:0.19, z:0.18}
    CandleShapeC.030, {x:0.17, y:0.19, z:0.18}
    CandleShapeC.018, {x:0.17, y:0.19, z:0.18}
    MonitorLizard, {x:1.77, y:1.40, z:0.52}
    CandleShapeB.021, {x:0.10, y:0.12, z:0.20}
    CandleShapeB.009, {x:0.10, y:0.12, z:0.20}
    CandleSkullShapeB.010, {x:0.20, y:0.31, z:0.36}
    CandleSkullShapeB.004, {x:0.20, y:0.31, z:0.36}
    Narwhal, {x:1.11, y:3.89, z:0.55}
    CandleSkullShapeB.005, {x:0.20, y:0.31, z:0.36}
    CandleSkullShapeB.011, {x:0.20, y:0.31, z:0.36}
    Caterpillar, {x:0.29, y:0.23, z:0.08}
    CandleShapeB.008, {x:0.10, y:0.12, z:0.20}
    CandleShapeB.020, {x:0.10, y:0.12, z:0.20}
    GhoulScream, {x:2.66, y:1.81, z:2.31}
    CandleShapeC.019, {x:0.17, y:0.19, z:0.18}
    CandleShapeC.031, {x:0.17, y:0.19, z:0.18}
    CandleShapeC.025, {x:0.17, y:0.19, z:0.18}
    Crab, {x:0.68, y:0.34, z:0.07}
    CandleShapeC.027, {x:0.17, y:0.19, z:0.18}
    CandleShapeB.022, {x:0.10, y:0.12, z:0.20}
    PostWithSkulls, {x:0.20, y:0.26, z:0.99}
    Gazelle, {x:0.53, y:2.01, z:1.66}
    BeetleScarab, {x:0.23, y:0.29, z:0.04}
    CandleSkullShapeB.007, {x:0.20, y:0.31, z:0.36}
    CandleSkullShapeB.013, {x:0.20, y:0.31, z:0.36}
    CandleSkullShapeB.012, {x:0.20, y:0.31, z:0.36}
    CandleSkullShapeB.006, {x:0.20, y:0.31, z:0.36}
    Pigeon, {x:0.25, y:0.59, z:0.50}
    Porcupine, {x:0.74, y:1.10, z:0.77}
    CandleShapeB.023, {x:0.10, y:0.12, z:0.20}
    CandleShapeC.026, {x:0.17, y:0.19, z:0.18}
    CandleShapeC.032, {x:0.17, y:0.19, z:0.18}
    Mantis, {x:0.30, y:0.32, z:0.38}
    WoodDecor05, {x:0.38, y:0.82, z:0.05}
    CandleShapeE.004, {x:0.14, y:0.13, z:0.33}
    CandleSkullShapeA.001, {x:0.20, y:0.31, z:0.44}
    CandleShapeE.010, {x:0.14, y:0.13, z:0.33}
    Bone, {x:0.33, y:0.34, z:0.13}
    CandleShapeD.029, {x:0.18, y:0.13, z:0.27}
    CandleShapeD.015, {x:0.18, y:0.13, z:0.27}
    CandleShapeD.001, {x:0.18, y:0.13, z:0.27}
    CarvedPumpkin01, {x:0.60, y:0.61, z:0.72}
    Skull02, {x:0.20, y:0.31, z:0.25}
    CandleShapeA.018, {x:0.08, y:0.09, z:0.35}
    CandleShapeA.030, {x:0.08, y:0.09, z:0.35}
    CandleShapeA.024, {x:0.08, y:0.09, z:0.35}
    Ghoul, {x:2.58, y:0.68, z:2.86}
    Snail01, {x:0.17, y:0.46, z:0.28}
    HockeyMask, {x:0.32, y:0.37, z:0.37}
    Owl01, {x:0.35, y:0.69, z:0.72}
    Bat, {x:1.11, y:0.34, z:0.13}
    CandleShapeA.025, {x:0.08, y:0.09, z:0.35}
    CandleShapeA.031, {x:0.08, y:0.09, z:0.35}
    CandleShapeA.019, {x:0.08, y:0.09, z:0.35}
    Skull03, {x:0.20, y:0.31, z:0.25}
    CandleShapeD.000, {x:0.18, y:0.13, z:0.27}
    CandleShapeD.014, {x:0.18, y:0.13, z:0.27}
    CandleShapeD.028, {x:0.18, y:0.13, z:0.27}
    Monkey, {x:0.63, y:0.73, z:0.89}
    CandleSkullShapeA.000, {x:0.20, y:0.31, z:0.44}
    CandleShapeE.011, {x:0.14, y:0.13, z:0.33}
    CandleShapeE.005, {x:0.14, y:0.13, z:0.33}
    Lamb, {x:0.56, y:1.75, z:1.39}
    WoodDecor04, {x:0.79, y:1.03, z:0.06}
    WoodDecor06, {x:0.83, y:1.01, z:0.05}
    CandleShapeE.013, {x:0.14, y:0.13, z:0.33}
    CandleSkullShapeA.002, {x:0.20, y:0.31, z:0.44}
    CandleShapeE.007, {x:0.14, y:0.13, z:0.33}
    PostWithSkull, {x:0.20, y:0.26, z:0.99}
    CandleShapeD.002, {x:0.18, y:0.13, z:0.27}
    CandleShapeD.016, {x:0.18, y:0.13, z:0.27}
    CarvedPumpkin02, {x:0.58, y:0.56, z:0.53}
    Skull01, {x:0.20, y:0.31, z:0.25}
    CandleShapeA.027, {x:0.08, y:0.09, z:0.35}
    Snail02, {x:0.16, y:0.45, z:0.27}
    Egg, {x:0.14, y:0.14, z:0.18}
    Moose, {x:1.15, y:2.23, z:2.37}
    BarrelClosed, {x:0.93, y:0.93, z:1.18}
    Owl02, {x:0.35, y:0.51, z:0.74}
    Coffin, {x:1.19, y:2.95, z:0.47}
    CandleShapeA.032, {x:0.08, y:0.09, z:0.35}
    CandleShapeA.026, {x:0.08, y:0.09, z:0.35}
    TurkeyMale, {x:0.84, y:0.98, z:1.08}
    CarvedPumpkin03, {x:0.60, y:0.59, z:0.70}
    CandleShapeD.017, {x:0.18, y:0.13, z:0.27}
    CandleShapeD.003, {x:0.18, y:0.13, z:0.27}
    CandleShapeE.006, {x:0.14, y:0.13, z:0.33}
    CandleShapeE.012, {x:0.14, y:0.13, z:0.33}
    CandleSkullShapeA.003, {x:0.20, y:0.31, z:0.44}
    Iguana, {x:1.40, y:2.58, z:0.50}
    CandleSkullShapeA.007, {x:0.20, y:0.31, z:0.44}
    CandleShapeE.016, {x:0.14, y:0.13, z:0.33}
    CandleShapeE.002, {x:0.14, y:0.13, z:0.33}
    WoodDecor03, {x:0.32, y:1.49, z:0.05}
    Falcon, {x:0.26, y:0.68, z:0.65}
    BeetleStag, {x:0.27, y:0.50, z:0.13}
    CandleShapeD.007, {x:0.18, y:0.13, z:0.27}
    CandleShapeD.013, {x:0.18, y:0.13, z:0.27}
    Girafe, {x:0.69, y:2.14, z:3.22}
    Bear01, {x:0.88, y:2.55, z:1.44}
    CandleShapeA.022, {x:0.08, y:0.09, z:0.35}
    Llama, {x:0.69, y:2.15, z:2.14}
    Squirrel02, {x:0.91, y:0.25, z:0.57}
    PolarBear, {x:0.94, y:2.99, z:1.54}
    CandleShapeA.023, {x:0.08, y:0.09, z:0.35}
    Otter, {x:0.33, y:1.73, z:0.53}
    CandleShapeD.012, {x:0.18, y:0.13, z:0.27}
    CandleShapeD.006, {x:0.18, y:0.13, z:0.27}
    WoodDecor02, {x:1.14, y:1.04, z:0.05}
    CandleShapeE.003, {x:0.14, y:0.13, z:0.33}
    CandleSkullShapeA.006, {x:0.20, y:0.31, z:0.44}
    CandleShapeE.017, {x:0.14, y:0.13, z:0.33}
    HedgeHog, {x:0.39, y:0.45, z:0.34}
    CandleShapeE.001, {x:0.14, y:0.13, z:0.33}
    CandleShapeE.015, {x:0.14, y:0.13, z:0.33}
    CandleSkullShapeA.004, {x:0.20, y:0.31, z:0.44}
    CandleShapeE.029, {x:0.14, y:0.13, z:0.33}
    GoldChaliceWithBlood, {x:0.20, y:0.20, z:0.35}
    CandleShapeD.010, {x:0.18, y:0.13, z:0.27}
    CandleShapeD.004, {x:0.18, y:0.13, z:0.27}
    Bear02, {x:0.96, y:1.02, z:2.31}
    Lemur, {x:0.45, y:0.73, z:0.96}
    CandleShapeA.021, {x:0.08, y:0.09, z:0.35}
    Pelican, {x:0.43, y:0.81, z:1.10}
    CandleShapeA.009, {x:0.08, y:0.09, z:0.35}
    SilverChalice, {x:0.20, y:0.20, z:0.35}
    Scorpion, {x:0.49, y:0.49, z:0.26}
    Squirrel01, {x:0.25, y:0.78, z:0.39}
    Snake, {x:0.75, y:0.97, z:0.69}
    CandleShapeA.008, {x:0.08, y:0.09, z:0.35}
    CandleShapeA.020, {x:0.08, y:0.09, z:0.35}
    Bear03, {x:0.83, y:2.10, z:1.40}
    CandleShapeD.005, {x:0.18, y:0.13, z:0.27}
    CandleShapeD.011, {x:0.18, y:0.13, z:0.27}
    CandleShapeE.028, {x:0.14, y:0.13, z:0.33}
    WoodDecor01, {x:0.61, y:1.05, z:0.05}
    CandleShapeE.014, {x:0.14, y:0.13, z:0.33}
    CandleSkullShapeA.005, {x:0.20, y:0.31, z:0.44}
    CandleShapeE.019, {x:0.14, y:0.13, z:0.33}
    CandleSkullShapeA.008, {x:0.20, y:0.31, z:0.44}
    CandleShapeE.025, {x:0.14, y:0.13, z:0.33}
    Unicorn, {x:0.69, y:3.14, z:2.26}
    Horse02, {x:0.61, y:2.51, z:2.01}
    CandleShapeD.008, {x:0.18, y:0.13, z:0.27}
    CandleShapeD.020, {x:0.18, y:0.13, z:0.27}
    Kangaroo01, {x:0.98, y:1.18, z:2.05}
    CandleShapeA.011, {x:0.08, y:0.09, z:0.35}
    BarrelSkulls, {x:0.94, y:0.94, z:1.42}
    CandleShapeA.005, {x:0.08, y:0.09, z:0.35}
    Rabbit, {x:0.30, y:0.74, z:0.70}
    Flamingo02, {x:0.65, y:0.81, z:2.05}
    Sphynx, {x:0.21, y:0.95, z:0.75}
    CandleShapeA.004, {x:0.08, y:0.09, z:0.35}
    CandleShapeA.010, {x:0.08, y:0.09, z:0.35}
    Cougar02, {x:1.99, y:0.98, z:1.17}
    CandleShapeD.021, {x:0.18, y:0.13, z:0.27}
    CandleShapeD.009, {x:0.18, y:0.13, z:0.27}
    Horse03, {x:0.61, y:2.51, z:2.01}
    Dog, {x:0.34, y:0.98, z:0.75}
    Duck, {x:0.32, y:0.84, z:0.62}
    CandleShapeE.024, {x:0.14, y:0.13, z:0.33}
    CandleShapeE.018, {x:0.14, y:0.13, z:0.33}
    CandleShapeE.026, {x:0.14, y:0.13, z:0.33}
    Horse01, {x:0.61, y:2.51, z:2.01}
    Toad, {x:0.51, y:0.41, z:0.25}
    SilverChaliceWithBlood, {x:0.20, y:0.20, z:0.35}
    PlainPumpkin, {x:0.87, y:0.88, z:0.66}
    CandleShapeD.023, {x:0.18, y:0.13, z:0.27}
    Kangaroo02, {x:1.74, y:1.93, z:1.89}
    CandleShapeA.006, {x:0.08, y:0.09, z:0.35}
    TombStone04, {x:0.92, y:0.29, z:1.63}
    CandleShapeA.012, {x:0.08, y:0.09, z:0.35}
    Flamingo01, {x:0.63, y:0.77, z:1.97}
    TombStone05, {x:0.38, y:1.07, z:1.71}
    CandleShapeA.013, {x:0.08, y:0.09, z:0.35}
    CandleShapeA.007, {x:0.08, y:0.09, z:0.35}
    Cougar01, {x:0.47, y:2.48, z:1.19}
    LionFemale, {x:1.56, y:2.10, z:1.35}
    Ferret, {x:0.29, y:1.23, z:0.54}
    Tarantula, {x:0.37, y:0.40, z:0.14}
    CandleShapeD.022, {x:0.18, y:0.13, z:0.27}
    GhoulIdle, {x:2.06, y:1.46, z:3.15}
    CandleShapeE.027, {x:0.14, y:0.13, z:0.33}
    CandleShapeE.023, {x:0.14, y:0.13, z:0.33}
    SpiderWebWithEggs, {x:3.10, y:0.31, z:3.70}
    CandleShapeD.026, {x:0.18, y:0.13, z:0.27}
    LionMale, {x:2.46, y:1.81, z:1.67}
    CandleShapeA.003, {x:0.08, y:0.09, z:0.35}
    CandleShapeA.017, {x:0.08, y:0.09, z:0.35}
    TombStone01, {x:1.19, y:0.61, z:2.20}
    Rhino, {x:1.20, y:3.26, z:1.54}
    Peacock01, {x:0.54, y:1.97, z:1.29}
    Bison, {x:1.00, y:2.60, z:1.93}
    Monarch, {x:0.50, y:0.29, z:0.16}
    Cow01, {x:0.74, y:2.70, z:1.71}
    CandleShapeA.016, {x:0.08, y:0.09, z:0.35}
    CandleShapeA.002, {x:0.08, y:0.09, z:0.35}
    Macaw02, {x:1.49, y:0.82, z:0.78}
    Skellie01, {x:0.93, y:0.62, z:1.91}
    Cheetah01, {x:0.39, y:2.34, z:1.28}
    CandleShapeE.022, {x:0.14, y:0.13, z:0.33}
    ZombieLeg, {x:0.25, y:0.37, z:1.06}
    CandleShapeE.020, {x:0.14, y:0.13, z:0.33}
    CandleShapeE.008, {x:0.14, y:0.13, z:0.33}
    TurkeyFemale, {x:0.29, y:0.79, z:0.92}
    CandleShapeD.025, {x:0.18, y:0.13, z:0.27}
    CandleShapeD.019, {x:0.18, y:0.13, z:0.27}
    PileOfBones, {x:0.86, y:0.68, z:0.28}
    TombStone02, {x:1.07, y:0.38, z:1.05}
    CandleShapeA.014, {x:0.08, y:0.09, z:0.35}
    CandleShapeA.000, {x:0.08, y:0.09, z:0.35}
    CandleShapeA.028, {x:0.08, y:0.09, z:0.35}
    TurkeyVulture, {x:0.52, y:0.93, z:0.82}
    Peacock02, {x:3.25, y:1.28, z:2.25}
    Platapus, {x:0.72, y:1.50, z:0.36}
    DragonFly, {x:0.54, y:0.40, z:0.14}
    Cow02, {x:0.67, y:2.70, z:1.48}
    CandleShapeA.029, {x:0.08, y:0.09, z:0.35}
    CandleShapeA.001, {x:0.08, y:0.09, z:0.35}
    TombStone03, {x:0.40, y:1.12, z:1.37}
    CandleShapeA.015, {x:0.08, y:0.09, z:0.35}
    CandleShapeD.024, {x:0.18, y:0.13, z:0.27}
    GoldChalice, {x:0.20, y:0.20, z:0.35}
    Macaw01, {x:0.27, y:0.71, z:0.55}
    Skellie02, {x:0.91, y:0.42, z:1.60}
    CandleShapeE.009, {x:0.14, y:0.13, z:0.33}
    Cheetah02, {x:0.41, y:2.30, z:1.12}
    CandleShapeE.021, {x:0.14, y:0.13, z:0.33}
    CrateClose, {x:0.90, y:0.90, z:0.90}
    Sarcophagus03, {x:1.25, y:1.99, z:0.41}
    Zebra, {x:0.61, y:2.64, z:2.09}
    CandleShapeC.017, {x:0.17, y:0.19, z:0.18}
    Cat02, {x:0.65, y:0.60, z:0.50}
    CandleShapeC.003, {x:0.17, y:0.19, z:0.18}
    CandleShapeB.006, {x:0.10, y:0.12, z:0.20}
    CandleShapeB.012, {x:0.10, y:0.12, z:0.20}
    PlainPumpkinCluster, {x:1.51, y:1.02, z:0.59}
    CrateOpen, {x:0.90, y:0.90, z:0.90}
    Goat02, {x:0.59, y:1.95, z:1.56}
    Rat, {x:0.42, y:0.49, z:0.24}
    CandleSkullShapeB.023, {x:0.20, y:0.31, z:0.36}
    CandleSkullShapeB.022, {x:0.20, y:0.31, z:0.36}
    Swan, {x:1.04, y:0.41, z:1.03}
    Eagle, {x:2.68, y:1.31, z:0.61}
    CandleShapeB.013, {x:0.10, y:0.12, z:0.20}
    CandleShapeB.007, {x:0.10, y:0.12, z:0.20}
    Beaver01, {x:0.51, y:1.53, z:0.55}
    SpookyTree01, {x:4.80, y:6.99, z:6.80}
    CandleShapeC.002, {x:0.17, y:0.19, z:0.18}
    CandleShapeC.016, {x:0.17, y:0.19, z:0.18}
    Sarcophagus02, {x:0.99, y:1.17, z:1.42}
    Camel, {x:0.62, y:2.58, z:1.99}
    CandleShapeC.028, {x:0.17, y:0.19, z:0.18}
    CandleShapeC.000, {x:0.17, y:0.19, z:0.18}
    Cat01, {x:0.20, y:0.98, z:0.56}
    SpookyTree03, {x:6.06, y:4.77, z:6.56}
    Ostrich, {x:0.84, y:2.05, z:2.24}
    CandleShapeC.014, {x:0.17, y:0.19, z:0.18}
    DeerMale, {x:1.25, y:2.05, z:2.44}
    CandleShapeB.011, {x:0.10, y:0.12, z:0.20}
    CandleShapeB.005, {x:0.10, y:0.12, z:0.20}
    Fox04, {x:0.32, y:1.45, z:0.76}
    Goat01, {x:0.51, y:2.07, z:1.42}
    CandleSkullShapeB.008, {x:0.20, y:0.31, z:0.36}
    CandleSkullShapeB.020, {x:0.20, y:0.31, z:0.36}
    CandleSkullShapeB.021, {x:0.20, y:0.31, z:0.36}
    CandleSkullShapeB.009, {x:0.20, y:0.31, z:0.36}
    Sheep, {x:0.80, y:2.16, z:1.23}
    CandleShapeB.004, {x:0.10, y:0.12, z:0.20}
    Quokka, {x:0.44, y:1.36, z:0.72}
    Armadillo, {x:0.34, y:1.01, z:0.39}
    CandleShapeB.010, {x:0.10, y:0.12, z:0.20}
    Beaver02, {x:0.35, y:1.06, z:0.48}
    Chrysalis, {x:0.08, y:0.06, z:0.24}
    Chicken, {x:0.29, y:0.55, z:0.69}
    CandleShapeC.015, {x:0.17, y:0.19, z:0.18}
    CandleShapeC.001, {x:0.17, y:0.19, z:0.19}
    SpookyTree02, {x:5.22, y:4.49, z:6.91}
    CandleShapeC.029, {x:0.17, y:0.19, z:0.18}
    Sarcophagus01, {x:1.46, y:2.12, z:0.42}
    BlackWidow, {x:0.27, y:0.46, z:0.14}
    SpookyTree06, {x:6.06, y:4.77, z:6.56}
    CandleShapeC.005, {x:0.17, y:0.19, z:0.18}
    CandleShapeC.011, {x:0.17, y:0.19, z:0.18}
    CandleShapeB.014, {x:0.10, y:0.12, z:0.20}
    CandleShapeB.000, {x:0.10, y:0.12, z:0.20}
    Ant, {x:0.22, y:0.23, z:0.04}
    CandleShapeB.028, {x:0.10, y:0.12, z:0.20}
    Fox01, {x:0.26, y:1.37, z:0.81}
    Vine02, {x:0.67, y:0.52, z:0.19}
    CandleSkullShapeB.025, {x:0.20, y:0.31, z:0.36}
    CandleSkullShapeB.019, {x:0.20, y:0.31, z:0.36}
    CandleSkullShapeB.018, {x:0.20, y:0.31, z:0.36}
    CandleSkullShapeB.024, {x:0.20, y:0.31, z:0.36}
    SpiderWebCorner, {x:2.86, y:0.11, z:2.88}
    Panther01, {x:0.49, y:2.59, z:1.24}
    CandleShapeB.029, {x:0.10, y:0.12, z:0.20}
    CandleShapeB.001, {x:0.10, y:0.12, z:0.20}
    Hippo, {x:1.00, y:2.44, z:1.27}
    CandleShapeB.015, {x:0.10, y:0.12, z:0.20}
    Gorilla, {x:1.29, y:1.70, z:1.85}
    Toucan, {x:0.35, y:1.31, z:0.87}
    CandleShapeC.010, {x:0.17, y:0.19, z:0.18}
    SpookyTree07, {x:6.06, y:4.77, z:6.56}
    CandleShapeC.004, {x:0.17, y:0.19, z:0.18}
